id,rs,mvol,bd,porosity,clay,org,ra,paper,climate,vegetation,treatment,hydro_alpha,hydro_n,hydro_thetaS,hydro_thetaR,mp
Fog1,0.37,0.16,1.54,0.418867925,0.09,0.028,0.32,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,7247.903341
Fog1,0.38,0.16,1.54,0.418867925,0.09,0.028,0.31,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,6257.252519
Fog1,0.39,0.16,1.54,0.418867925,0.09,0.028,0.34,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,5764.994815
Fog1,0.4,0.17,1.54,0.418867925,0.09,0.028,0.36,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,5024.515011
Fog1,0.4,0.17,1.54,0.418867925,0.09,0.028,0.31,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,4940.23848
Fog1,0.33,0.14,1.54,0.418867925,0.09,0.028,0.22,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,13948.40645
Fog1,0.34,0.14,1.54,0.418867925,0.09,0.028,0.25,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,12854.40732
Fog1,0.34,0.14,1.54,0.418867925,0.09,0.028,0.31,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,11557.33157
Fog1,0.35,0.15,1.54,0.418867925,0.09,0.028,0.35,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,10702.30408
Fog1,0.36,0.15,1.54,0.418867925,0.09,0.028,0.33,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,8852.804734
Fog1,0.36,0.15,1.54,0.418867925,0.09,0.028,0.37,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,9043.465897
Fog1,0.34,0.14,1.54,0.418867925,0.09,0.028,0.38,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,12435.5674
Fog1,0.37,0.16,1.54,0.418867925,0.09,0.028,0.43,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,7367.965839
Fog1,0.4,0.17,1.54,0.418867925,0.09,0.028,0.47,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,5403.558447
Fog1,0.41,0.17,1.54,0.418867925,0.09,0.028,0.45,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,4559.370023
Fog1,0.42,0.17,1.54,0.418867925,0.09,0.028,0.45,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,4238.668241
Fog1,0.44,0.19,1.54,0.418867925,0.09,0.028,0.49,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,3160.892489
Fog1,0.43,0.18,1.54,0.418867925,0.09,0.028,0.55,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,3667.32959
Fog1,0.42,0.18,1.54,0.418867925,0.09,0.028,0.61,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,4137.218217
Fog1,0.43,0.18,1.54,0.418867925,0.09,0.028,0.62,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,3595.799653
Fog1,0.41,0.17,1.54,0.418867925,0.09,0.028,0.67,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,4779.043794
Fog1,0.46,0.19,1.54,0.418867925,0.09,0.028,0.68,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,2556.701448
Fog1,0.51,0.21,1.54,0.418867925,0.09,0.028,0.84,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,1748.070014
Fog1,0.53,0.22,1.54,0.418867925,0.09,0.028,0.91,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,1467.721449
Fog1,0.54,0.23,1.54,0.418867925,0.09,0.028,0.85,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,1310.683713
Fog1,0.56,0.24,1.54,0.418867925,0.09,0.028,0.89,Carbone et al,Mediterranean,coastal forest,pre-pulse,0.00817,1.5474,0.5,0.07,1102.536916
